City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Mataura,NZ,2021-04-28 21:37:13,-46.1927,168.8643,55.0,84,99,11.01
67,Bredasdorp,ZA,2021-04-28 21:37:19,-34.5322,20.0403,57.2,72,62,3.44
68,Topolobampo,MX,2021-04-28 21:38:54,25.6,-109.05,82.0,29,1,17.27
69,Provideniya,RU,2021-04-28 21:37:08,64.3833,-173.3,33.8,64,0,4.47
70,Anantapur,IN,2021-04-28 21:38:54,14.6833,77.6,87.53,40,59,8.08
71,Padang,ID,2021-04-28 21:37:20,-0.9492,100.3543,77.0,100,75,1.14
72,Ribeira Grande,PT,2021-04-28 21:38:02,38.5167,-28.7,60.8,67,75,14.97
73,Pedernales,DO,2021-04-28 21:38:55,18.0384,-71.744,80.04,69,15,4.83
74,Najran,SA,2021-04-28 21:38:55,17.4924,44.1277,73.4,56,0,5.75
75,Norman Wells,CA,2021-04-28 21:36:51,65.282,-126.8329,32.0,59,20,12.66
76,Arraial Do Cabo,BR,2021-04-28 21:37:23,-22.9661,-42.0278,75.2,73,20,3.44
77,Port-Cartier,CA,2021-04-28 21:38:56,50.0334,-66.8654,48.99,46,75,11.5
78,Douglas,US,2021-04-28 21:38:56,41.3,-96.167,68.0,63,90,3.44
79,Nanortalik,GL,2021-04-28 21:37:26,60.1432,-45.2371,35.31,92,84,3.85
80,Mlonggo,ID,2021-04-28 21:38:57,-6.5333,110.7,78.8,83,40,3.44
81,Sabang,ID,2021-04-28 21:38:57,5.8933,95.3214,82.4,71,74,0.58
82,Gejiu,CN,2021-04-28 21:38:58,23.306,103.1635,49.86,86,100,4.88
83,Te Anau,NZ,2021-04-28 21:38:58,-45.4167,167.7167,51.33,93,100,4.99
84,Port Alfred,ZA,2021-04-28 21:37:52,-33.5906,26.891,66.22,80,97,5.28
85,Isangel,VU,2021-04-28 21:37:17,-19.55,169.2667,75.2,69,20,5.75
86,Chemal,RU,2021-04-28 21:38:59,51.4111,86.005,48.58,90,77,2.89
87,Laguna,US,2021-04-28 21:38:59,38.421,-121.4238,84.99,14,1,10.36
88,Hasaki,JP,2021-04-28 21:37:11,35.7333,140.8333,59.0,100,75,4.61
89,Ilulissat,GL,2021-04-28 21:36:37,69.2167,-51.1,33.8,80,98,8.05
90,Wattegama,LK,2021-04-28 21:39:00,6.7989,81.4808,74.64,93,99,2.95
91,Melilla,ES,2021-04-28 21:39:01,35.2937,-2.9383,64.4,72,0,13.8
92,Hutchinson,US,2021-04-28 21:39:00,38.0608,-97.9298,68.0,64,90,12.66
93,Carnarvon,AU,2021-04-28 21:39:01,-24.8667,113.6333,62.6,88,0,5.75
94,Shingu,JP,2021-04-28 21:39:02,33.7333,135.9833,63.03,92,100,11.3
95,Saskylakh,RU,2021-04-28 21:36:39,71.9167,114.0833,18.16,93,84,7.67
96,Mahebourg,MU,2021-04-28 21:39:02,-20.4081,57.7,75.2,94,75,11.5
97,Lobez,PL,2021-04-28 21:39:03,53.6392,15.6213,46.0,49,95,1.01
98,Nanakuli,US,2021-04-28 21:39:03,21.3906,-158.1547,80.6,61,75,10.36
99,Lufilufi,WS,2021-04-28 21:39:03,-13.8745,-171.5986,87.8,79,40,8.05
100,Fairbanks,US,2021-04-28 21:34:21,64.8378,-147.7164,48.99,27,1,5.75
101,Campbell River,CA,2021-04-28 21:39:04,50.0163,-125.2446,50.0,93,90,12.66
102,Itaituba,BR,2021-04-28 21:39:04,-4.2761,-55.9836,77.0,100,90,0.74
103,Roald,NO,2021-04-28 21:39:05,62.5833,6.1333,39.2,75,20,18.41
104,Encheng,CN,2021-04-28 21:39:05,22.1839,112.3026,69.01,92,100,4.29
105,Bathsheba,BB,2021-04-28 21:38:08,13.2167,-59.5167,78.8,69,75,17.27
106,Faanui,PF,2021-04-28 21:39:06,-16.4833,-151.75,82.18,71,79,12.24
107,Thompson,CA,2021-04-28 21:37:12,55.7435,-97.8558,32.0,29,20,10.36
108,Igarka,RU,2021-04-28 21:39:06,67.4667,86.5833,29.86,94,100,7.63
109,Ancud,CL,2021-04-28 21:37:18,-41.8697,-73.8203,55.4,100,90,6.91
110,Bambous Virieux,MU,2021-04-28 21:39:07,-20.3428,57.7575,75.99,94,75,11.5
111,Colares,PT,2021-04-28 21:39:07,38.7992,-9.4469,57.99,71,20,11.5
112,Bagdarin,RU,2021-04-28 21:39:08,54.4333,113.6,18.57,68,55,4.56
113,Pangody,RU,2021-04-28 21:39:08,65.85,74.4859,26.82,91,100,4.21
114,Cravo Norte,CO,2021-04-28 21:39:09,6.3017,-70.2041,80.49,74,96,5.32
115,Upernavik,GL,2021-04-28 21:37:21,72.7868,-56.1549,27.91,88,56,4.41
116,Tuatapere,NZ,2021-04-28 21:37:48,-46.1333,167.6833,55.0,84,91,11.01
117,Dayong,CN,2021-04-28 21:39:10,25.0209,118.2898,68.0,100,90,4.47
118,Simplicio Mendes,BR,2021-04-28 21:39:10,-7.8539,-41.9103,85.26,37,88,3.44
119,Cooma,AU,2021-04-28 21:39:10,-36.2333,149.1333,35.6,100,40,4.61
120,Sale,MA,2021-04-28 21:39:11,34.0389,-6.8166,64.99,82,75,3.78
121,Lagos,NG,2021-04-28 21:36:42,6.5833,3.75,82.4,78,20,4.32
122,Nome,US,2021-04-28 21:38:19,64.5011,-165.4064,32.0,64,20,18.41
123,Palauig,PH,2021-04-28 21:39:12,15.435,119.9045,78.84,74,91,3.65
124,Gurupa,BR,2021-04-28 21:39:12,-1.405,-51.64,75.65,93,55,3.27
125,Cordoba,AR,2021-04-28 21:36:27,-31.4135,-64.1811,73.4,49,0,12.66
126,Kahului,US,2021-04-28 21:34:30,20.8947,-156.47,80.6,69,40,9.22
127,Codrington,AU,2021-04-28 21:37:58,-38.2667,141.9667,51.1,85,12,7.02
128,Gewane,ET,2021-04-28 21:39:13,10.1664,40.6453,79.0,66,96,0.94
129,Vestmannaeyjar,IS,2021-04-28 21:37:42,63.4427,-20.2734,43.74,79,28,17.34
130,Bireun,ID,2021-04-28 21:39:13,5.203,96.7009,78.08,83,98,2.77
131,Prainha,BR,2021-04-28 21:39:14,-1.8,-53.48,78.51,80,98,3.0
132,Carauari,BR,2021-04-28 21:39:14,-4.8828,-66.8958,72.95,99,100,1.72
133,Wanaka,NZ,2021-04-28 21:39:15,-44.7,169.15,52.81,76,84,4.29
134,Bezhanitsy,RU,2021-04-28 21:39:15,56.9767,29.8907,32.76,81,86,5.21
135,Sembakung,ID,2021-04-28 21:39:15,3.8167,117.25,78.8,89,40,1.14
136,San Quintin,MX,2021-04-28 21:39:16,30.4833,-115.95,65.43,60,0,13.06
137,Arrifes,PT,2021-04-28 21:39:16,37.7667,-25.7,57.2,72,40,5.75
138,Deputatskiy,RU,2021-04-28 21:37:10,69.3,139.9,15.1,88,41,4.38
139,Puqi,CN,2021-04-28 21:39:17,29.7167,113.8833,58.75,77,76,5.35
140,Vacaria,BR,2021-04-28 21:37:11,-28.5122,-50.9339,49.26,75,0,5.37
141,Oyotun,PE,2021-04-28 21:39:17,-6.8519,-79.3036,75.2,60,0,20.71
142,Bogorodskoye,RU,2021-04-28 21:39:18,56.55,37.8833,31.69,93,60,6.29
143,Guerrero Negro,MX,2021-04-28 21:39:18,27.9769,-114.0611,67.98,51,0,16.87
144,Sabya,SA,2021-04-28 21:39:19,17.1495,42.6254,82.4,61,0,2.8
145,Sitka,US,2021-04-28 21:38:11,57.0531,-135.33,48.2,76,75,8.05
146,Matata,NZ,2021-04-28 21:39:19,-37.8833,176.75,57.99,85,20,1.01
147,Soyo,AO,2021-04-28 21:39:20,-6.1349,12.3689,79.54,88,68,7.2
148,Port Lincoln,AU,2021-04-28 21:39:20,-34.7333,135.8667,61.81,54,8,2.89
149,Dikson,RU,2021-04-28 21:37:51,73.5069,80.5464,18.18,96,100,7.31
150,Batagay-Alyta,RU,2021-04-28 21:37:34,67.8006,130.4114,13.08,77,13,3.09
151,Oranjemund,NA,2021-04-28 21:39:21,-28.55,16.4333,58.62,91,25,13.85
152,Salym,RU,2021-04-28 21:39:21,60.0625,71.4789,40.17,96,100,4.99
153,Ondjiva,AO,2021-04-28 21:39:22,-17.0667,15.7333,72.36,33,47,0.65
154,Atmakur,IN,2021-04-28 21:39:22,15.8833,78.5833,81.64,46,40,3.91
155,Georgetown,MY,2021-04-28 21:38:01,5.4112,100.3354,78.01,94,20,3.44
156,Ust-Omchug,RU,2021-04-28 21:39:23,61.15,149.6333,24.76,85,86,2.73
157,Hilo,US,2021-04-28 21:36:33,19.7297,-155.09,84.2,51,75,9.22
158,Hobyo,SO,2021-04-28 21:37:29,5.3505,48.5268,84.02,67,59,10.8
159,Benjamin Constant,BR,2021-04-28 21:39:25,-4.3831,-70.0311,82.4,78,40,6.91
160,Ous,RU,2021-04-28 21:39:25,60.9058,61.5186,36.79,91,100,5.41
161,Luderitz,NA,2021-04-28 21:38:20,-26.6481,15.1594,60.91,77,0,16.15
162,Cruzeiro Do Sul,BR,2021-04-28 21:39:26,-29.5128,-51.9853,61.0,82,0,0.4
163,Sabaudia,IT,2021-04-28 21:39:27,41.3003,13.0282,61.0,94,55,1.99
164,Namibe,AO,2021-04-28 21:37:52,-15.1961,12.1522,75.15,69,15,9.64
165,San Cristobal,VE,2021-04-28 21:37:34,7.7669,-72.225,80.6,74,75,2.3
166,Ulkan,RU,2021-04-28 21:38:48,57.243,107.3223,18.59,96,50,2.84
167,Menongue,AO,2021-04-28 21:39:29,-14.6585,17.691,64.71,55,63,3.76
168,Quang Ngai,VN,2021-04-28 21:39:30,15.1167,108.8,73.71,91,75,3.11
169,Khatanga,RU,2021-04-28 21:37:40,71.9667,102.5,18.86,94,99,4.16
170,Merauke,ID,2021-04-28 21:39:31,-8.4667,140.3333,75.31,93,100,6.62
171,College,US,2021-04-28 21:37:30,64.8569,-147.8028,48.0,26,40,5.75
