City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
135,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
137,Colac,AU,60.01,broken clouds,-38.3333,143.5833,Otway Gate Motel
138,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
140,Castro,BR,71.89,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
144,Mar Del Plata,AR,72.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
145,Bethel,US,60.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
146,Itarema,BR,81.59,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
147,Springbok,ZA,61.25,clear sky,-29.6643,17.8865,Undulata Country Lodge
149,Praia Da Vitoria,PT,60.01,broken clouds,38.7333,-27.0667,Hotel Branco I
151,Carson City,US,75.2,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
152,Londa,IN,74.35,clear sky,15.4691,74.5191,The B hive.
156,Cabatuan,PH,77.72,clear sky,10.8794,122.486,ROREM'S BOARDING HOUSE
158,Mehriz,IR,78.8,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
159,Viedma,AR,73.53,light rain,-40.8135,-62.9967,Hotel Cristal
162,Cayenne,GF,87.8,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
164,Bandarbeyla,SO,84.61,overcast clouds,9.4942,50.8122,JABIR HOTEL
166,Sabzevar,IR,72.64,overcast clouds,36.2126,57.6819,پزشکی قانونی سبزوار
172,San Juan,AR,77.02,broken clouds,-31.5375,-68.5364,Hotel Provincial
174,Zemio,CF,72.88,light rain,5.0314,25.1361,OCHA Office
175,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
176,Kandrian,PG,76.01,scattered clouds,-6.2167,149.55,Kandrian Station
177,Sao Geraldo Do Araguaia,BR,82.56,overcast clouds,-6.4006,-48.555,SOLAR DO BARROSO
179,Old Bridge,US,63.0,clear sky,40.4148,-74.3654,Surestay Hotel By Best Western East Brunswick
181,Eyl,SO,84.58,overcast clouds,7.9803,49.8164,Amiin Hotel
184,Montepuez,MZ,68.86,broken clouds,-13.1256,38.9997,PembaAparthotel
185,Carutapera,BR,82.51,broken clouds,-1.195,-46.02,Lidera
186,Jinchang,CN,66.88,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
188,Namatanai,PG,78.69,overcast clouds,-3.6667,152.4333,Namatanai Hotel
189,Madisonville,US,72.0,clear sky,37.3281,-87.4989,Days Inn by Wyndham Madisonville
191,Komsomolskiy,UZ,64.4,broken clouds,40.4272,71.7189,Ikathouse
195,Jijiga,ET,64.81,overcast clouds,9.35,42.8,RAMAAS HOTEL
196,Saldanha,ZA,60.8,clear sky,-33.0117,17.9442,Blue Bay Lodge
197,Chuy,UY,73.81,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
203,Mpika,ZM,62.71,broken clouds,-11.8343,31.4529,Melodies Lodge
208,Derbent,RU,61.52,overcast clouds,42.0678,48.2899,Elit
209,Iralaya,HN,86.0,broken clouds,15.0,-83.2333,Iglesia morava renovada
211,Charters Towers,AU,64.02,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
212,Trat,TH,80.01,overcast clouds,12.5,102.5,สวนหนิง-อัศ
213,Alofi,NU,73.4,light rain,-19.0595,-169.9187,Taloa Heights
215,Ixtapa,MX,82.4,clear sky,20.7,-105.2,Hotel Plaza Providencia
216,Mutis,CO,81.81,light rain,6.2262,-77.4044,Paraiso Escondido
217,Mae Hong Son,TH,73.35,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
218,Bartica,GY,89.6,scattered clouds,6.4,-58.6167,Relax Inn Hotel
220,Georgetown,MY,79.0,moderate rain,5.4112,100.3354,Cititel Penang
224,Natchez,US,77.0,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
225,Tabou,CI,82.81,overcast clouds,4.423,-7.3528,hotêl doufoulougou
230,Buraydah,SA,86.0,clear sky,26.326,43.975,فندق راحة السلام
233,Faya,SA,68.0,light rain,18.3851,42.4509,مقبرة ال مجمل
234,Hami,CN,65.25,scattered clouds,42.8,93.45,Laoyutang Resort
235,Presidencia Roque Saenz Pena,AR,84.0,clear sky,-26.7852,-60.4388,Hotel Gualok
236,Bambous Virieux,MU,75.0,few clouds,-20.3428,57.7575,Casa Tia Villa
237,Coquimbo,CL,66.2,clear sky,-29.9533,-71.3436,Punto de encuentro
240,Planadas,CO,76.64,few clouds,3.197,-75.6451,Coffee Hotel Planadas
242,Port Keats,AU,74.23,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
244,Alexandria,EG,75.2,clear sky,31.2156,29.9553,Royal Crown Hotel
247,Kudahuvadhoo,MV,83.71,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
249,Voh,NC,71.17,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
250,Kampot,KH,82.4,few clouds,10.6167,104.1833,Two Moons Hotel
252,Hithadhoo,MV,84.61,overcast clouds,-0.6,73.0833,Scoop Guest House
253,Ugoofaaru,MV,83.61,scattered clouds,5.6667,73.0,Ungoofaaru Inn
254,Dawei,MM,77.41,scattered clouds,14.0833,98.2,Hotel Dawei
255,Imbituba,BR,77.0,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
257,Cotonou,BJ,86.0,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
259,Ponta Delgada,PT,60.8,broken clouds,37.7333,-25.6667,Vila Nova Hotel
260,Trairi,BR,84.29,broken clouds,-3.2778,-39.2689,janelas do mar
261,Guanay,BO,88.83,clear sky,-15.4975,-67.8797,Hotel Ritzy
263,Bunia,CD,65.61,light rain,1.5667,30.25,Gold Star International Hotel
265,Pangkalanbuun,ID,75.36,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
267,Delta,NG,81.7,light rain,5.5,6.0,Prestige Hotel
268,Mogadishu,SO,83.39,few clouds,2.0371,45.3438,Hotel Juba
270,Mahebourg,MU,73.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
273,Aquiraz,BR,86.0,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
275,Vanimo,PG,77.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
276,Westport,US,62.6,clear sky,41.1415,-73.3579,The Westport Inn
278,Asfi,MA,64.33,overcast clouds,32.2994,-9.2372,Hôtel Abda
