City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabo San Lucas,MX,2021-05-01 03:35:26,22.8909,-109.9124,73.0,76,0,1.01
68,Vaini,TO,2021-05-01 03:35:26,-21.2,-175.2,78.8,89,75,12.66
69,Tzucacab,MX,2021-05-01 03:35:27,20.0667,-89.05,77.22,75,17,5.61
70,Masallatah,LY,2021-05-01 03:35:27,32.6167,14.0,80.38,20,64,15.03
71,Guerrero Negro,MX,2021-05-01 03:35:27,27.9769,-114.0611,67.41,60,0,17.74
72,Quatre Cocos,MU,2021-05-01 03:35:28,-20.2078,57.7625,77.0,78,40,10.36
73,Jiuquan,CN,2021-05-01 03:35:28,39.7432,98.5174,78.48,6,97,1.66
74,Atuona,PF,2021-05-01 03:33:36,-9.8,-139.0333,79.43,68,4,1.86
75,Meulaboh,ID,2021-05-01 03:35:29,4.1363,96.1285,84.96,66,94,3.29
76,Kabinda,CD,2021-05-01 03:35:29,-6.1333,24.4833,65.89,97,100,2.77
77,Bairiki,KI,2021-05-01 03:35:30,1.3292,172.9752,87.8,70,75,8.05
78,Tasiilaq,GL,2021-05-01 03:35:30,65.6145,-37.6368,26.6,93,40,5.75
79,Tiznit,MA,2021-05-01 03:35:30,29.5833,-9.5,52.83,76,77,4.61
80,Hasaki,JP,2021-05-01 03:35:31,35.7333,140.8333,75.2,41,75,6.91
81,Nanortalik,GL,2021-05-01 03:35:31,60.1432,-45.2371,36.43,71,77,11.3
82,Bluff,NZ,2021-05-01 03:35:32,-46.6,168.3333,55.99,73,50,3.0
83,Bratsk,RU,2021-05-01 03:35:32,56.1325,101.6142,46.4,49,48,2.24
84,Ambilobe,MG,2021-05-01 03:35:33,-13.2,49.05,74.86,90,0,2.68
85,Wairoa,NZ,2021-05-01 03:35:33,-39.0333,177.3667,57.0,65,17,8.99
86,Antofagasta,CL,2021-05-01 03:35:34,-23.65,-70.4,59.0,88,0,10.36
87,Katsuura,JP,2021-05-01 03:35:34,35.1333,140.3,73.0,68,75,16.11
88,Dunda,TZ,2021-05-01 03:35:34,-8.1167,34.25,61.54,96,86,0.76
89,Ancud,CL,2021-05-01 03:35:35,-41.8697,-73.8203,55.99,100,90,21.85
90,Playas,EC,2021-05-01 03:35:35,-2.6333,-80.3833,74.14,86,100,3.56
91,Nabire,ID,2021-05-01 03:35:36,-3.3667,135.4833,87.44,62,68,6.29
92,Barrow,US,2021-05-01 03:35:36,71.2906,-156.7887,21.2,79,90,1.95
93,Talcahuano,CL,2021-05-01 03:35:36,-36.7167,-73.1167,57.2,94,90,16.11
94,Havre,FR,2021-05-01 03:35:37,49.5833,0.3333,35.6,93,2,4.61
95,Avarua,CK,2021-05-01 03:35:37,-21.2078,-159.775,78.8,73,20,5.75
96,Avera,US,2021-05-01 03:35:37,33.194,-82.5271,66.2,55,1,9.22
97,Bandarbeyla,SO,2021-05-01 03:35:38,9.4942,50.8122,83.19,71,100,2.24
98,Qaanaaq,GL,2021-05-01 03:35:38,77.484,-69.3632,27.52,52,92,8.52
99,Dikson,RU,2021-05-01 03:35:39,73.5069,80.5464,22.3,92,100,11.32
100,Kununurra,AU,2021-05-01 03:35:39,-15.7667,128.7333,91.4,22,0,6.91
101,Vostok,RU,2021-05-01 03:35:39,46.4856,135.8833,55.31,28,1,10.38
102,Talnakh,RU,2021-05-01 03:35:40,69.4865,88.3972,30.6,75,10,0.63
103,Birao,CF,2021-05-01 03:35:40,10.2849,22.7882,81.14,42,90,4.74
104,Doha,QA,2021-05-01 03:35:41,25.2867,51.5333,82.0,61,0,5.75
105,Leningradskiy,RU,2021-05-01 03:35:41,69.3833,178.4167,19.83,92,100,22.3
106,Weligama,LK,2021-05-01 03:35:41,5.9667,80.4167,85.28,70,18,1.97
107,Mahebourg,MU,2021-05-01 03:35:44,-20.4081,57.7,77.0,78,40,10.36
108,Shushtar,IR,2021-05-01 03:35:45,32.0455,48.8567,84.45,21,0,11.5
109,Souillac,MU,2021-05-01 03:35:45,-20.5167,57.5167,77.0,78,40,10.36
110,Tarko-Sale,RU,2021-05-01 03:35:46,64.9225,77.785,37.0,85,100,20.71
111,Provideniya,RU,2021-05-01 03:35:46,64.3833,-173.3,27.82,79,100,7.09
112,San Policarpo,PH,2021-05-01 03:35:47,12.1791,125.5072,83.61,65,22,6.85
113,Vila Franca Do Campo,PT,2021-05-01 03:35:47,37.7167,-25.4333,51.8,76,20,2.3
114,Harper,LR,2021-05-01 03:35:47,4.375,-7.7169,79.41,81,100,3.83
115,Jamestown,US,2021-05-01 03:31:50,42.097,-79.2353,41.0,56,90,17.27
116,Dzaoudzi,YT,2021-05-01 03:35:48,-12.7887,45.2699,80.6,89,75,9.22
117,Vendas Novas,PT,2021-05-01 03:35:48,38.6771,-8.4579,53.6,66,20,8.05
118,Sainte-Marie,RE,2021-05-01 03:35:49,-20.8968,55.5496,75.2,88,75,13.8
119,Eruwa,NG,2021-05-01 03:35:49,7.5333,3.4167,75.24,95,98,3.74
120,Ayr,GB,2021-05-01 03:35:50,55.4627,-4.6339,41.0,87,40,6.91
121,Ios,GR,2021-05-01 03:35:50,36.7333,25.2833,64.99,63,95,5.19
122,Miles City,US,2021-05-01 03:35:50,46.4083,-105.8406,69.8,19,1,10.36
123,Nikolskoye,RU,2021-05-01 03:35:51,59.7035,30.7861,36.0,86,0,4.47
124,El Coco,PA,2021-05-01 03:35:51,8.8703,-79.815,77.0,100,75,2.33
125,Vestmannaeyjar,IS,2021-05-01 03:35:52,63.4427,-20.2734,37.94,78,92,18.66
126,Neiafu,TO,2021-05-01 03:35:52,-18.65,-173.9833,84.2,74,20,6.91
127,Lompoc,US,2021-05-01 03:35:52,34.6391,-120.4579,50.0,93,90,12.66
128,Torbay,CA,2021-05-01 03:35:28,47.6666,-52.7314,37.99,100,90,25.32
129,Los Llanos De Aridane,ES,2021-05-01 03:35:53,28.6585,-17.9182,64.4,55,0,9.22
130,Nemuro,JP,2021-05-01 03:35:53,43.3236,145.575,44.6,61,75,13.8
131,Bondo,CD,2021-05-01 03:35:54,3.8146,23.6866,67.96,97,100,1.48
132,Hukuntsi,BW,2021-05-01 03:35:54,-24.0,21.75,50.86,38,0,6.64
133,Aykhal,RU,2021-05-01 03:35:54,66.0,111.5,31.24,93,100,13.09
134,Sobolevo,RU,2021-05-01 03:35:55,54.4299,31.8996,40.23,85,100,7.23
135,Airai,TL,2021-05-01 03:35:55,-8.9266,125.4092,75.27,48,38,3.74
136,Bathsheba,BB,2021-05-01 03:35:56,13.2167,-59.5167,78.8,65,20,13.8
137,Elat,IL,2021-05-01 03:35:56,29.5581,34.9482,78.8,24,0,13.8
138,Nalut,LY,2021-05-01 03:35:56,30.3333,10.85,81.75,13,86,9.91
139,Norman Wells,CA,2021-05-01 03:35:57,65.282,-126.8329,44.6,39,20,11.5
140,Kyrylivka,UA,2021-05-01 03:35:57,46.3759,35.3675,55.11,80,82,8.34
